titulo,Autor/Mantenedor,Descripción,Período,link,Palabras Clave
Mapa cultural,SINCA,Información sobre agentes culturales georreferenciada ,,https://www.sinca.gob.ar/mapa.aspx?,"Editoriales, Librerias, Ferias"
Encuesta Nacional de Consumos Culturales,SINCA,Portal de las encuestas realizadas en 2013 y 2017,"2013, 2017",https://encuestadeconsumo.sinca.gob.ar/,"Libros, Diarios, Revistas, Blogs"
Buscador de datos,SINCA,Plataforma de búsqueda de información,,https://www.sinca.gob.ar/BuscarDatosBasicos.aspx,"IVC, CAL, Libros, Diarios, Revistas, Circulación"
"Libros vendidos en librerías y recaudación por origen del ISBN. CABA, 2011/2015",DGEyC,Tabla elaborada en base a ENLI,2011-2015,https://www.estadisticaciudad.gob.ar/eyc/?p=27648,"Ventas, Librerías, Libros"
"Precio promedio de libros vendidos en librerías por origen del ISBN. CABA, 2011/2015",DGEyC,Tabla elaborada en base a ENLI,2011-2016,https://www.estadisticaciudad.gob.ar/eyc/?p=42172,"Libros, Librerías, Precios"
"Personal ocupado y locales activos en librerías. CABA, 2011/2014",DGEyC,Tabla elaborada en base a ENLI,2011-2014,https://www.estadisticaciudad.gob.ar/eyc/?p=42176,"Librerías, Empleo"
"Circulación bruta de revistas y distribución porcentual por zona geográfica. Total del país, 2011-2017.",DGEyC,,2011-2017,https://www.estadisticaciudad.gob.ar/eyc/?p=74372,"Circulación, Revistas"
Ventas en librerías CABA,CEDEM,,,https://issuu.com/camaradellibro,"Ventas, Librerías, Libros"
Libro blanco de la industria editorial argentina,CAP,Informes de años 2015-2018,2015-2018,http://www.publicaciones.org.ar/,
Informe CUICA Nro. 1 - Situación de las industrias culturales argentinas en el período 2014-2017,CUICA (UNDAV),,2014-2017,http://cuica.undav.edu.ar/wp-content/uploads/2017/11/Informe-CUICA-11.pdf,
Informe anual de producción,CAL,,,http://www.camaradellibro.com.ar/index.php/panorama-editorial/estadisticas,
Catálogos de CONABIP,,,,,
Informes de CEDEM,,,,,
Empleo sector editorial Argentina y CABA,OEyDE,,,http://www.trabajo.gob.ar/estadisticas/oede/index.asp,
Comercio exterior de productos editoriales (exportaciones e importaciones),INDEC y Comtrade,,,https://comex.indec.gob.ar/search,
,OIC,,,,
,OIC,,,,
,OIC,,,,
,OIC,,,,
,OIC,,,,
,OIC,,,,
Medios Vecinales,Buenos Aires Data,,,,
Opción Libros,Buenos Aires Data,,,,
Listado de Dependencias Culturales,Buenos Aires Data,,,,
Catálogo centralizado de la red de bibliotecas públicas,Buenos Aires Data,,,,
Bibliotecas de la CABA,Buenos Aires Data,,,,
Indicadores de Industrias Culturales en valores anuales y trimestrales,Datos Argentina,,,https://datos.gob.ar/dataset/sspmi-indicadores-sectoriales-industrias-culturales,
,Datos Argentina,,,https://www.argentina.gob.ar/hacienda/politicaeconomica/microeconomica/cadenasproductivas/servicios,
Registro de importación del sector editorial,Datos Argentina,Empresas que tramitaron su inscripción para obtener la exención en los derechos de importación de papel para uso editorial.,,https://datos.gob.ar/dataset/produccion-registro-importacion-sector-editorial-rise,"Editoriales, Importación, Papel"